Marca temporal,Puntuación total,Escriba su número de cuenta.,Indique su sexo. ,Escriba su edad.,ACA1_resp,ACA1,ACA2_resp,ACA2,ACA3_resp,ACA3,ACA4_resp,ACA4,ACA5_resp,ACA5,ACA6_resp,ACA6,ACA7_resp,ACA7,ACA8_resp,ACA8,ACA9_resp,ACA9,ACA10_resp,ACA10
2019/11/06 1:19:36 p.m. GMT-6,5,315021217,Mujer,20,A ,1,B ,1,A ,0,C ,1,B ,0,A ,0,D ,1,A ,0,A ,0,C ,1
2019/11/06 1:20:32 p.m. GMT-6,7,313302691,Mujer,22,A ,1,B ,1,D ,0,C ,1,D ,1,C ,0,D ,1,B ,1,C ,1,A ,0
2019/11/06 1:22:31 p.m. GMT-6,8,315196124,Mujer,20,A ,1,B ,1,B ,1,A ,0,D ,1,A,0,D ,1,B,1,C,1,C,1
2019/11/06 1:26:00 p.m. GMT-6,6,315281525,Hombre,20,A ,1,B ,1,B ,1,C,1,D ,1,B ,1,C,0,A,0,A,0,A,0
2019/11/06 1:29:35 p.m. GMT-6,8,315161254,Hombre,20,A ,1,B ,1,A,0,C,1,D ,1,B ,1,D,1,A,0,C,1,C,1
2019/11/06 1:29:55 p.m. GMT-6,8,315287596,Mujer,20,A ,1,B ,1,B,1,C,1,D ,1,B ,1,D,1,A,0,A,0,C,1
2019/11/06 1:29:55 p.m. GMT-6,8,315273739,Mujer,20,A ,1,B ,1,B,1,C,1,D ,1,B ,1,D,1,A,0,A,0,C,1
2019/11/06 1:32:00 p.m. GMT-6,6,315194948,Mujer,20,A ,1,B ,1,A,0,C,1,D ,1,B ,1,D,1,A,0,A,0,A,0
2019/11/06 3:26:29 p.m. GMT-6,5,315134012,Mujer,20,A ,1,B ,1,D,0,C,1,D ,1,B ,1,C ,0,A,0,A,0,A,0
2019/11/06 10:13:29 p.m. GMT-6,6,315303601,Mujer,20,A ,1,B ,1,A,0,A,0,D ,1,A,0,D,1,B,1,A,0,C,1
2019/11/08 12:10:50 p.m. GMT-6,5,418058657,Hombre,23,C ,0,B ,1,B,1,C,1,D ,1,B,1,C,0,A,0,A,0,B ,0
2019/11/08 12:22:46 p.m. GMT-6,8,315289246,Mujer,20,A,1,B ,1,B,1,C,1,D ,1,A,0,D,1,B,1,C,1,A,0
2019/11/08 12:23:43 p.m. GMT-6,4,315173282,Mujer,21,A,1,B ,1,A,0,C,1,B,0,C,0,A,0,A,0,D,0,C,1
2019/11/08 12:30:52 p.m. GMT-6,5,315113239,Mujer,20,C,0,B ,1,A,0,D,0,D,1,C,0,D,1,B,1,B,0,C,1
2019/11/08 12:43:19 p.m. GMT-6,3,315141399,Mujer,20,D ,0,B ,1,B,1,C,1,B,0,C,0,C,0,D ,0,A,0,A,0
2019/11/08 12:49:22 p.m. GMT-6,7,315125724,Hombre,20,A,1,B ,1,B,1,C,1,B,0,A,0,C,0,B,1,C,1,C,1
2019/11/08 12:52:34 p.m. GMT-6,8,315190782,Hombre,20,A,1,B ,1,B,1,C,1,D,1,B,1,D,1,D,0,A,0,C,1
2019/11/08 12:53:56 p.m. GMT-6,7,315137082,Mujer,20,A,1,B ,1,A,0,C,1,D,0,B,1,D,1,A,0,C,1,C,1
2019/11/08 2:53:49 p.m. GMT-6,7,315139880,Mujer,20,A,1,A ,0,A,0,C,1,D,1,B,1,D,1,B,1,C,1,B ,0
2019/11/08 3:49:26 p.m. GMT-6,7,315314357,Mujer,20,A,1,B,1,B,1,C,1,B,0,B,1,C,0,B,1,A,0,C,1
2019/11/08 6:32:56 p.m. GMT-6,7,315160328,Mujer,20,A,1,B,1,B,1,C,1,D,1,C,0,C,0,B,1,A,0,C,1
2019/11/08 6:43:34 p.m. GMT-6,4,112005049,Mujer,20,A,1,B,1,C,0,A,0,D,1,C,0,D,1,D,0,A,0,A,0
2019/11/08 7:33:08 p.m. GMT-6,9,315057256,Mujer,20,A,1,B,1,B,1,C,1,D,1,B,1,D,1,A,0,C,1,C,1
2019/11/08 8:13:31 p.m. GMT-6,7,314590897,Mujer,22,A,1,B,1,B,1,C,1,D,1,B,1,D,1,A,0,A,0,A,0
2019/11/08 9:25:19 p.m. GMT-6,9,315062656,Mujer,20,A,1,B,1,A,0,C,1,D,1,B,1,D,1,B,1,C,1,C,1
2019/11/08 10:09:56 p.m. GMT-6,8,315248278,Mujer,20,A,1,B,1,B,1,C,1,D,1,B,1,D,1,B,1,A,0,A,0
2019/11/08 10:30:37 p.m. GMT-6,6,315039944,Mujer,20,C,0,B,1,D,0,C,1,A,0,B,1,D,1,B,1,A,0,C,1
2019/11/09 12:50:37 a.m. GMT-6,8,315160862,Mujer,20,A,1,B,1,B,1,C,1,D,1,C,0,D,1,B,1,A,0,C,1
2019/11/09 2:11:55 a.m. GMT-6,7,315215319,Mujer,20,D,0,B,1,A,0,C,1,D,1,B,1,D,1,B,1,A,0,C,1
2019/11/09 10:49:13 a.m. GMT-6,7,315075564,Mujer,21,D,0,B,1,B,1,C,1,D,1,A,0,D,1,B,1,A,0,C,1
2019/11/09 9:18:37 p.m. GMT-6,7,315124875,Mujer,20,C,0,B,1,A,0,C,1,D,1,B,1,D,1,A,0,C,1,C,1
2019/11/13 12:24:50 p.m. GMT-6,7,315207963,Mujer,20,A,1,NA,NA,B,1,C,1,D,1,B,1,D,1,A,0,C,1,NA,NA
2019/11/17 1:41:00 a.m. GMT-6,8,315191064,Mujer,20,A,1,B,1,A,0,C,1,D,1,B,1,D,1,B,1,A,0,C,1
